S,B,oom,latency_s,memory_bytes,energy_j,is_validation
32,1,False,0.0003592000007629,40175616,0.0171745689655172,False
64,1,False,0.0003612160086631,43401216,0.0186061043886581,False
128,1,False,0.0004031360000371,38830080,0.0210485691253526,False
224,1,False,0.0004932640045881,41127936,0.0416863131935881,False
256,1,False,0.0003262559920549,42172416,0.0467256564997553,False
384,1,False,0.0004408639967441,47742976,0.0871908750275512,False
512,1,False,0.0007381280064582,56328192,0.157840221402214,False
448,1,False,0.0005643200278282,51363840,0.1212465444287729,True
496,1,False,0.0007003040015697,54445056,0.1509891456582633,True
400,1,False,0.0004906559884548,48595968,0.1041199411331861,True
480,1,False,0.0006571199893951,53383168,0.1416438896189224,True
32,2,False,0.0003821759968996,40212480,0.0181035536874283,False
64,2,False,0.0003235520124435,43548672,0.0195349401488191,False
128,2,False,0.0003680320084095,39944192,0.0291931922723091,False
224,2,False,0.0004479839950799,44539904,0.0675079507278835,False
256,2,False,0.000420352011919,46628864,0.0831677175283732,False
384,2,False,0.0007728640139102,57769984,0.166331916537867,False
512,2,False,0.0031185760498046,291600384,0.4707881619937695,False
448,2,False,0.0019324479699134,229029888,0.3692328502415459,True
496,2,False,0.0023988479375839,260327424,0.4367709832134293,True
400,2,False,0.0015380960106849,200140800,0.2965295926210607,True
480,2,False,0.0024337120056152,259203072,0.425772506082725,True
32,4,False,0.0003579360097646,40286208,0.0191394058697208,False
64,4,False,0.0003285119980573,43843584,0.022503695188044,False
128,4,False,0.0003949280083179,42172416,0.046785982230997,False
224,4,False,0.0005702559947967,51363840,0.1211074686431014,False
256,4,False,0.0007459520101547,56328192,0.1540480984340044,False
384,4,False,0.0018412799835205,185972736,0.3884001839926403,False
512,4,False,0.0040037440061569,310474752,0.662696,False
448,4,False,0.0032992000579833,243480576,0.5232734761120263,True
496,4,False,0.0036664799451828,278040576,0.6066263736263736,True
400,4,False,0.0020735520124435,211660800,0.4205544041450777,True
480,4,False,0.003383327960968,275972096,0.584277027027027,True
32,8,False,0.0004034879952669,40433664,0.0192247327012305,False
64,8,False,0.0003858079910278,44433408,0.0293462577160493,False
128,8,False,0.0004932159930467,46628864,0.0840024654832347,False
224,8,False,0.0010514720082283,104429568,0.2325470310036784,False
256,8,False,0.0013269599676132,124428288,0.2911783819628647,False
384,8,False,0.0035327199697494,207206400,0.6078465608465609,False
512,8,False,0.0066075518131256,348223488,1.0675280528052806,False
448,8,False,0.0046269760131835,272381952,0.8340508083140877,True
496,8,False,0.0060758559703826,313466880,0.9909272727272728,True
400,8,False,0.0039191359281539,234700800,0.6591800391389433,True
480,8,False,0.005986592054367,308969472,0.9708865671641792,True
32,16,False,0.0004073119908571,40728576,0.0225180207697006,False
64,16,False,0.0004700800031423,45613056,0.0417602820211515,False
128,16,False,0.0007266240119934,56328192,0.1559644024700326,False
224,16,False,0.0017435839772224,118880256,0.3898092334494774,False
256,16,False,0.0027332960367202,143302656,0.47450956284153,False
384,16,False,0.0062188799381256,249673728,1.036835403726708,False
512,16,False,0.0115673599243164,423720960,1.861601156069364,False
448,16,False,0.0086054720878601,330184704,1.411021459227468,True
496,16,False,0.0108891839981079,384319488,1.7764456521739131,True
400,16,False,0.0068531839847564,281272320,1.1324349315068494,True
480,16,False,0.0100622081756591,375324672,1.6921155778894472,True
32,32,False,0.000417007997632,42356736,0.0308490723368772,False
64,32,False,0.0003823040127754,52125696,0.0715105122324159,False
128,32,False,0.0013594880104064,73367552,0.3023036684782608,False
224,32,False,0.0046057600975036,146898944,0.8872229885057471,False
256,32,False,0.0066063199043273,180322304,1.138864686468647,False
384,32,False,0.0148772315979003,358580224,2.620911111111111,False
512,32,False,0.029524543762207,608141312,4.789823529411764,False
448,32,False,0.0234393920898437,474447872,3.631151162790698,True
496,32,False,0.0288404321670532,573046784,4.6565,True
400,32,False,0.0180930557250976,385875968,3.1075405405405405,True
480,32,False,0.0264141435623168,540114944,4.286223684210526,True
32,64,False,0.000448192000389,45613056,0.0467734707595787,False
64,64,False,0.0006258080005645,65937408,0.1422428035043804,False
128,64,False,0.003432783961296,109019136,0.5918216123499143,False
224,64,False,0.01132222366333,256081920,1.7918926553672316,False
256,64,False,0.0146240801811218,322928640,2.3776350364963506,False
384,64,False,0.0339952011108398,679444480,5.159881355932203,False
512,64,False,0.05659641456604,1178566656,9.322722222222222,False
448,64,False,0.0444713916778564,911179776,7.132755555555556,True
496,64,False,0.0541116962432861,1108377600,8.705081081081081,True
400,64,False,0.0356075687408447,734035968,5.650315789473685,True
480,64,False,0.0512423210144043,1040416768,8.046975,True
32,128,False,0.0004886240065097,52125696,0.0817437713727406,False
64,128,False,0.0011615040302276,91201536,0.2544494773519163,False
128,128,False,0.0064444000720977,180322304,1.1679453376205788,False
224,128,False,0.0203658714294433,474447872,3.428141414141414,False
256,128,False,0.0277422714233398,608141312,4.391424657534246,False
384,128,False,0.0601392955780029,1321172992,9.906647058823529,False
512,128,False,0.1059863357543945,2319417344,17.754,False
448,128,False,0.0823192481994628,1784643584,14.04452,True
496,128,False,0.1011016159057617,2179039232,16.6287,True
400,128,False,0.0656257438659668,1430355968,10.85648387096774,True
480,128,False,0.0966520500183105,2044166144,15.851142857142856,True
32,256,False,0.0008109920024871,65937408,0.1602124037292258,False
64,256,False,0.0030285279750823,143302656,0.483642965204236,False
128,256,False,0.0137466239929199,322928640,2.32386301369863,False
224,256,False,0.0452005748748779,911179776,7.237244444444444,False
256,256,False,0.0578112640380859,1178566656,9.301971428571427,False
384,256,False,0.1286064987182617,2604630016,21.2279375,False
512,256,False,0.2269522247314453,4601118720,37.3586,False
448,256,False,0.17535107421875,3531571200,28.3405,True
496,256,False,0.216751968383789,4320362496,35.5706,True
400,256,False,0.1439561080932617,2822995968,23.09528571428572,True
480,256,False,0.2019402847290039,4048519168,32.6198,True
32,242,False,0.0007920959889888,64634880,0.1578902970297029,True
64,242,False,0.0027875200510025,141238272,0.4675766016713092,True
128,242,False,0.012072431564331,307331072,2.0548253012048194,True
224,242,False,0.0407520790100097,863412224,6.40208,True
256,242,False,0.0526447849273681,1116176384,8.38971052631579,True
384,242,False,0.1126762580871582,2464251904,18.6855,True
512,242,False,0.1998074951171874,4351557632,33.37609090909091,True
448,242,False,0.1539119567871094,3340500992,25.900153846153845,True
496,242,False,0.1884245910644531,4086155264,32.073454545454545,True
400,242,False,0.1224234085083007,2670675968,20.731529411764704,True
480,242,False,0.1866418838500976,3829178368,29.99436363636364,True
32,76,False,0.000577071994543,47093760,0.0586532025389497,True
64,76,False,0.0007352479994297,71073792,0.1591414920984932,True
128,76,False,0.0037120159864425,122388480,0.6835120593692022,True
224,76,False,0.0119238557815551,297025536,2.1583154761904764,True
256,76,False,0.0175794239044189,376406016,2.752921052631579,True
384,76,False,0.0385215835571289,799768576,5.976057692307692,True
512,76,False,0.0685493736267089,1392476160,10.559833333333334,True
448,76,False,0.0515270881652832,1074954240,8.207666666666666,True
496,76,False,0.0602617282867431,1309126656,9.932264705882352,True
400,76,False,0.040817039489746,864595968,6.543163265306123,True
480,76,False,0.0570909118652343,1228423168,9.350138888888887,True
32,124,False,0.0004831199944019,51978240,0.0841565217391304,True
64,124,False,0.0011340639591217,91267072,0.2464654195011338,True
128,124,False,0.0065115518569946,175865856,1.1347435064935063,True
224,124,False,0.0195013599395751,460800000,3.405640776699029,True
256,124,False,0.0264754552841186,590315520,4.414355263157895,True
384,124,False,0.0593277931213378,1281064960,9.888941176470588,True
